# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
4.0	60.0	7.0	75.8500	78.5659	75.1764	81.5838	77.0859	80.7529	88.4032	80.2600	79.2961	89.9623	
4.0	70.0	7.0	90.0700	78.5660	75.1764	82.5298	78.4161	80.7529	88.4032	80.2600	80.3566	89.9623	
4.0	80.0	7.0	88.8500	78.5662	75.1764	83.5060	79.7463	80.7529	89.3497	80.2600	83.5546	89.9623	
4.0	90.0	7.0	98.5200	78.5664	75.1764	84.5163	81.0765	80.7529	89.3497	80.2600	88.1931	89.9623	
4.0	100.0	7.0	88.6500	78.5667	75.1764	85.5679	82.4067	80.7529	89.3497	80.2600	93.4333	89.9623	
1.0	50.0	8.0	99.2300	131.8216	143.6923	110.5574	128.3103	153.0432	131.2660	152.4071	111.2474	123.9986	
1.0	60.0	8.0	113.7900	132.0145	143.6923	116.7470	129.6405	153.0432	131.2660	152.4071	117.5962	127.5626	
1.0	70.0	8.0	116.4900	132.2041	143.6923	125.4530	130.9707	153.0432	131.2660	152.4071	125.1405	127.5626	
1.0	80.0	8.0	128.2900	132.3837	143.6923	137.6041	132.3008	153.0432	137.6272	152.4071	132.2961	134.9287	
1.0	90.0	8.0	143.9600	132.5483	143.6923	154.1905	133.6310	153.0432	141.0411	152.4071	137.4668	134.9287	
1.0	100.0	8.0	150.0800	132.6946	143.6923	175.9887	134.9612	153.0432	141.0411	152.4071	139.6211	134.9287	
2.0	50.0	8.0	93.4200	126.7892	120.8537	94.9024	110.6426	97.9501	109.9233	107.7814	96.3235	111.4715	
2.0	60.0	8.0	85.6900	127.5800	120.8537	96.5711	111.9727	97.9501	109.9233	107.7814	99.8667	111.4715	
2.0	70.0	8.0	106.0100	128.3768	120.8537	98.6101	113.3029	97.9501	109.9233	107.7814	105.3559	111.4715	
2.0	80.0	8.0	99.2600	129.1507	120.8537	101.2170	114.6331	97.9501	109.9233	107.7814	111.5873	111.4715	
